S1,Rate,S2
0.5757142857142857,0.597479614529281,0.2
0.5959183673469388,0.5995893223819302,0.2
0.6161224489795918,0.6015741755504633,0.2
0.6363265306122449,0.6034449390361912,0.2
0.656530612244898,0.6052111748659581,0.2
0.676734693877551,0.6068814055636896,0.2
0.6969387755102041,0.6084632516703786,0.2
0.7171428571428571,0.6099635479951397,0.2
0.7373469387755102,0.6113884423386073,0.2
0.7575510204081632,0.6127434796962694,0.2
0.7777551020408163,0.6140336743736405,0.2
0.7979591836734694,0.6152635719905586,0.2
0.8181632653061224,0.6164373029906973,0.2
0.8383673469387755,0.6175586289837643,0.2
0.8585714285714285,0.6186309830159546,0.2
0.8787755102040816,0.6196575046769319,0.2
0.8989795918367347,0.6206410707995773,0.2
0.9191836734693878,0.621584322384764,0.2
0.9393877551020408,0.622489688281831,0.2
